1,  14.9450,   0.3311,   0.0222
1,  14.9450,   0.3108,   0.0208
1,  14.9450,   0.2852,   0.0191
1,  17.7350,   0.3391,   0.0191
1,  17.7350,   0.3385,   0.0191
1,  17.7350,   0.3447,   0.0194
1,  19.2300,   0.3820,   0.0199
1,  19.2300,   0.3890,   0.0202
1,  19.2300,   0.3758,   0.0195
1,  24.9900,   0.2467,   0.0099
1,  24.9900,   0.2434,   0.0097
1,  24.9900,   0.2443,   0.0098
1,  39.3800,   0.1919,   0.0049
1,  39.3800,   0.1913,   0.0049
1,  39.3800,   0.1943,   0.0049
1,  59.9800,   0.2901,   0.0048
1,  59.9800,   0.2902,   0.0048
1,  59.9800,   0.2874,   0.0048
1,  66.6800,   0.3207,   0.0048
1,  66.6800,   0.3237,   0.0049
1,  66.6800,   0.3200,   0.0048
1,  79.9800,   0.3834,   0.0048
1,  79.9800,   0.3798,   0.0047
1,  79.9800,   0.3812,   0.0048
1,  99.9500,   0.3792,   0.0038
1,  99.9500,   0.3838,   0.0038
1,  99.9500,   0.3812,   0.0038
