,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,NIV = 1,,,NIV = 5,,,NIV = 10,,,NIV = 20,,,NIV = 30,,,NIV = 50,,,NIV = 70,,,NIV = 90,,,,,
,D/N,DUR,ADUR,PAR,EQ,ADUR,PAR,EQ,ADUR,PAR,EQ,ADUR,PAR,EQ,ADUR,PAR,EQ,ADUR,PAR,EQ,ADUR,PAR,EQ,ADUR,PAR,EQ,Beta,Alpha,
35.3981,0.888666667,79.98,1.917,0.3834,0.0048,7.032,1.4064,0.0176,13.6165,2.7233,0.034,28.147,5.6294,0.0704,52.8175,10.5635,0.1321,79.0245,15.8049,0.1976,99.876,19.9752,0.2498,124.199,24.8398,0.3106,,,
35.649,0.888666667,79.98,1.899,0.3798,0.0047,7.025,1.405,0.0176,13.3425,2.6685,0.0334,27.4105,5.4821,0.0685,52.1445,10.4289,0.1304,81.554,16.3108,0.2039,97.913,19.5826,0.2448,124.417,24.8834,0.3111,,,
36.0157,0.888666667,79.98,1.906,0.3812,0.0048,7.057,1.4114,0.0176,13.419,2.6838,0.0336,27.712,5.5424,0.0693,53.074,10.6148,0.1327,76.7905,15.3581,0.192,97.666,19.5332,0.2442,121.116,24.2232,0.3029,,,
,1.110555556,99.95,1.896,0.3792,0.0038,6.9985,1.3997,0.014,13.483,2.6966,0.027,27.291,5.4582,0.0546,52.5585,10.5117,0.1052,77.322,15.4644,0.1547,100.3775,20.0755,0.2009,117.094,23.4188,0.2343,,,
40.52779445,1.110555556,99.95,1.919,0.3838,0.0038,7.142,1.4284,0.0143,13.423,2.6846,0.0269,27.723,5.5446,0.0555,53.3285,10.6657,0.1067,77.6165,15.5233,0.1553,100.114,20.0228,0.2003,122.318,24.4636,0.2448,,,
,1.110555556,99.95,1.906,0.3812,0.0038,7.076,1.4152,0.0142,13.518,2.7036,0.027,26.109,5.2218,0.0522,52.516,10.5032,0.1051,78.345,15.669,0.1568,97.0075,19.4015,0.1941,120.2045,24.0409,0.2405,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0.2394,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,-0.933,,,,,NDIV,14.945,17.735,19.23,24.99,39.38,59.98,66.68,79.98,99.95,,,,,,,,,,
,,,,,,,,,,1,0.0207,0.0192,,,,,,,,,,,,,,,,,
,,,,,,,,,,5,0.074,0.0755,,,,,,,,,,,,,,,,,
,,,,NDIV,Coeff,Power,,,,10,0.137133333,0.1393,,,,,,,,,,,,,,,,,
,,,,1,0.2394,-0.933,,,,20,0.267366667,0.266733333,,,,,,,,,,,,,,,,,
,,,,5,0.9775,-0.954,,,,30,0.508533333,0.600033333,,,,,,,,,,,,,,,,,
,,,,10,1.7003,-0.932,,,,50,0.955,0.935066667,,,,,,,,,,,,,,,,,
,,,,20,3.0783,-0.91,0.91,,,70,1.367266667,1.2651,,,,,,,,,,,,,,,,,
,,,,30,7.1821,-0.951,0.951,,,90,1.705833333,1.611066667,,,,,,,,,,,,,,,,,
,,,,50,14.944,-1.024,1.024,,,,,,,,,,,,,,,,,,,,,,
,,,,70,23.314,-1.071,1.071,,,,,,,,,,,,,,,,,,,,,,
,,,,90,30.462,-1.089,1.089,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.786,,0.166056,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.6272,,0.197056,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,#NAME?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ndiv,90,,,,,,,,,,,,,,,,,,,,,,,,,,,
,s_rate_2,1.582384206,,,,,,,,,,,,,,,,,,,,,,,,,,,
,s_rate_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,exp,105.5133788,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,DUR,24.6593,,,,,,,,,,,,,,,,,,,,,,,
,,,,,NDIV,90,,,,,,,,,,,,,,,,,,,,,,,
,,,,,s_rate_1,26.6953,,,,,,,,,,,,,,,,,,,,,,,
,,,,,s_rate_2,1.7862,,,,,,,,,,,,,,,,,,,,,,,
,,,,,ADUR,133.4766,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,ALPHA,1.10884E+79,,,,,,,,,,,,,,,,,,,,,,,
